Romanized_Text,Human_Annotated_Bengali_Text
Apnar post ta portesilam and onek anondito hocchilam.,আপনার পোস্ট টা পড়তেসিলাম এন্ড অনেক আনন্দিত হচ্ছিলাম।
Apnar prime account ta ektu diben ,আপনার প্রাইম একাউন্ট টা একটু দিবেন
kosto kore review likhun,কষ্ট করে রিভিউ লিখুন
apnar profile er fb link kaj kore na,আপনার প্রোফাইল এর এফবি লিংক কাজ করে না
apnar refer diben,আপনার রেফার দিবেন 
apnar sathe jogajog korte chai ,আপনার সাথে যোগাযোগ করতে চাই 
eta diye ki kaj koren?,এটা  দিয়ে কি কাজ করেন? 
dhonnobad.,ধন্যবাদ।
Apnar Ki Holo?,আপনার কি হলো ? 
fb link den, এফবি লিঙ্কটা দেন 
apnar ashol name ki ? ,আপনার আসল নাম কি ? 
apnader shop e realme ase?,আপনাদের দকানে রিয়েল্মি আছে?
apni google dekhen old version ace,আপনি গুগল দেখেন ওল্ড ভার্সন আছে 
Apne tahola ki vai???,আপনে  তাহলে কি ভাই??? 
Apne try korcen to vai?,আপনে ট্রাই করছেন ভাই?
Apne use koren?,আপনে  ইউজ করেন?
tar drive link den ,তার ড্রাইভ লিংক দেন
Apner boyosh koto ??,আপনের বয়স কতো ??
Apner post e ache dekhun,আপনের পোস্ট এ আছে দেখুন 
Apner profile e dekhlam likha,আপনের প্রোফাইল এ দেখলাম লিখা 
apnar theme gula ki ase?,আপনার থিম গুলা কি আছে? 
apni amake facebook e inbox koren,আপনি আমাকে ফেইসবু কে ইনবক্স করেন 
apni amar kotha bujhen nai,আপনি আমার কথা বুঝেন নাই 
Apni amar post ignore korben,আপনি আমার পোস্ট ইগনোর করবেন 
Apni apnar speed check kore dekhen.,আপনি আমার স্পীড চেক করে দেখেন।
apni apps made korlen,আপনি অ্যাপস মেড করলেন 
apni bujhte paren ni ki niye post korche ,আপনি বুঝতে পারেন নি কি নিয়ে পোস্ট করছে 
Apni caile thik korai nite paren,আপনি চাইলে ঠিক করাই নিতে পারেন 
apni cayle eta niye aro post korte paren,আপনি চায়লে এটা নিয়ে আরো পোস্ট করতে পারেন 
Apni vpn use kore download kore din,আপনি  ভিপিএন ইউজ করে ডাউনলোড করে  দিন
Apni janleu shobai janena,আপনি জানলেউ সবাই জানেনা 
Apni je premium vidmate upload disen ,আপনি যে প্রিমিয়াম  ভিডমেট আপলোড দিছেন
apni je spam kortechen subscriber howar iccha ache na ki,আপনি যে স্প্যাম্প করতেছেন সাবস্ক্রাইবার হওয়ার ইচ্ছা আছে নাকি 
Apni jeta disen oita use krsi problem hoy ,আপনি যেটা দিছেন ঐটা ইউজ করছি প্রব্লেম হয় 
janen ,জানেন 
apni jodi 24 ghonta connect rakhen tahole jante parbe,আপনি যদি ২৪ ঘন্টা কানেক্ট রাখেন তাহলে জানতে পারবে
Shamneo kore jabo,সামনেও করে যাবো
apni kono bank account details diben,আপনি কোনো ব্যাংক একাউন্ট ডিটেইলস দিবেন
apni ki sakib?,আপনি কি সাকিব?
Apni ki ekta baniye dite parben account?,আপনি কি একটা বানিয়ে দিতে পারবেন একাউন্ট?
Apni ki ei apps somporke ajkei janlen,আপনি কি এই অ্যাপস সম্পর্কে আজকেই জানলেন
Apni ki eta use korcen,আপনি কি এটা ইউজ করছেন
Recovery mode a password,রিকভারি মোড এ পাসওয়ার্ড
apni ki kono din vpn korechelan ?,আপনি কি কোনো দিন ভিপিএন করছিলান ?
Apni ki mobile users?,আপনি কি মোবাইল ইউজারস?
ekhon apnar data  kew share korbe,এখন আপনার ডাটা কেও শেয়ার করবে 
Apni ki sotti bolchen ,আপনি কি সত্যি বলছেন 
reffer hack korle reffer add hobe?,রেফার হ্যাক করলে রেফার অ্যাড হবে?
Apni Ki Trickbd App Use Koren,আপনি কি ট্রিকবিডি অ্যাপ ইউজ করেন
Apni kichu post koren,আপনি কিছু পোস্ট করেন 
apni kichui janen na,আপনি কিছুই জানেন না 
apni kivabe koren?,আপনি কীভাবে করেন 
Apni koi theke ascen?,আপনি কই থেকে আসছেন ?
Apni kon phone use koren,আপনি কোন ফোন ইউজ করেন 
Apni koto wifi use koren??,আপনি কতো ওয়াইফাই ইউজ করেন??
apni koto tuku janen ami jani na,আপনি কতো টুকু জানেন আমি জানি না
apni kivabe koren?,আপনি কীভাবে করেন?
Konta theke paid version? ,কোনটা থেকে পেইড ভার্সন?
Konta theke download korbo?,কোনটা থেকে ডাউনলোড করবো?
Apni net theke screenshot niye dite parten mobile er,আপনি নেট থেকে স্ক্রিনশট নিয়ে দিতে পারতেন মোবাইল এর
apni old version use korte paren ,আপনি ওল্ড ভার্সন ইউজ করতে পারতেন 
Apni post a record set kore den ,আপনি পোস্ট এ রেকর্ড সেট করে দেন 
apni post disen valo ,আপনি পোস্ট দিছেন ভালো 
apni post korsen,আপনি পোস্ট করছেন 
Apni rat 12 tar por khelben,আপনি রাত ১২ টার পর খেলবেন 
Apni record kore sunun,আপনি রেকর্ড করে শুনুন
apni try kore dekhsen,আপনি ট্রাই করে দেখসেন 
apni youtube theke review ta likhchen,আপনি ইউটিউব থেকে রিভিউ টা লিখসেন 
Apnito karon tai bollen na,আপনিতো কারণ টাই বললেন না
apnka kevaba pabo vai,আপনকা কীভাবা পাবো ভাই 
Apnar phoner storege kompokhe 1 GB faka thakte Hobe ,আপনার ফোনের স্টোরেজে কমপক্ষে ১ জিবি  ফাঁকা থাকতে হবে 
apni korsen??,আপনি করছেন ?
Apnr fb link din,আপনর এফবি লিঙ্ক দিন
Apnr moto baje lokder jonno valo post trickbd te share hoyna,আপনার মতো বাজে লোকদের জন্য ভালো পোস্ট ট্রিকবিডি তে শেয়ার হয়না
Apnr phone ar font ar nam ki??,আপনর ফোন এর ফন্ট এর নাম কি??
Apnr ta to Oxo’r sorce code…oitar interface valo,আপনর টা তো অক্সও’র সোর্স কোড…ঐটার ইন্টারফেস
aponar fd id den,আপনার এফবি আইডি দেন
Aponi ki windows users?,আপনি কি উইন্ডোজ ইউজারস?
phn theke uninstall korte bole,ফোন থেকে আনইনস্টল করতে বলে
App a maybe problem ase,অ্যাপ এ মেইবি প্রব্লেম আছে
App er Email den,অ্যাপ এর ইমেইল দেন 
App er problam mona hoi,অ্যাপ এর সমস্যা মনে হয় 
App ase na play store theke,অ্যাপ আছে না প্লে স্টোর থেকে 
hassokor ,হাস্যকর 
App backup korar jonne 1/2 mb er onek valo app ase,অ্যাপ ব্যাকআপ করার জন্যে ১/২  এমবি এর অনেক ভালো অ্যাপ আছে
App banano shike gesen?,অ্যাপ বানানো শিখে গেসেন ?
app chara hbe na ?,অ্যাপ ছাড়া হবে না ?
App clone diye message set korchi ,অ্যাপ ক্লোন দিয়ে মেসেজ সেট করছি 
App clone korchi thik babe ,অ্যাপ ক্লোন করছি ঠিক বাবে 
App clone kore refer kora jabe,অ্যাপ ক্লোন করে রেফার করা যাবে
App cloner premium er link ta dite parben?,অ্যাপ ক্লোনের প্রিমিয়াম এর লিংক টা দিতে পারবেন?
App cloner pro…latest version den,অ্যাপ ক্লোনের প্রো…লেটেস্ট ভার্সন দেন
app cloner update korte bolce keno?,অ্যাপ ক্লোনের আপডেট করতে বলছে কেন?
link ta thik koren,লিঙ্ক টা ঠিক করেন 
app download Link Den Vi,অ্যাপ ডাউনলোড লিঙ্ক দেন ভাই 
App er moddhe dhukte parchi na,অ্যাপ এর মধ্যে ঢুকতে পারছি না 
App er download link den vai ,অ্যাপ এর ডাউনলোড লিঙ্ক দেন ভাই 
App er nam thik kore likhte shikhen na,অ্যাপ এর নাম ঠিক করে লিখতে শিখেন না
app er name bolo,অ্যাপ এর নাম বলো
App er performance not good bro!,অ্যাপ এর পারফরমেন্স নট গুড ব্রো!
Ar kothao publish korle apni nischoi chaiben na,আর কোথাও পাব্লিশ করলে আপনি নিশ্চয় চাইবেন না 
app hide option ache ?,অ্যাপ হাইড অপশন আছে ?
"App install hoy na,,,","অ্যাপ ইন্সটল হয় না,,,"
apnar post er link,আপনার পোস্ট এর লিঙ্ক 
thanks a lot vai,থাঙ্কস এ লট ভাই
Apnar post ta portesilam and onk anondito hocchilam.,আপনার পোস্ট টা পড়তেসিলাম এন্ড অনক আনন্দিত হচ্ছিলাম।
Apnar prime account ta ektu diben ,আপনার প্রাইম একাউন্ট টা একটু দিবেন
kosto kore review likhun,কষ্ট করে রিভিউ লিখুন
apnar profile er fb link kaj kore na,আপনার প্রোফাইল এর এফবি   লিংক কাজ করে না
apnar refer deban,আপনার রেফার দিবান 
apnar sathe jogajog korte chai ,আপনার সাথে যোগাযোগ করতে চাই 
eta diye ki kaj koren?,এটা দিয়ে কি কাজ করেন? 
dhonnobad.,ধন্যবাদ।
Apnar Ki Holo?,আপনার কি হল? 
fb id link den,এফবি আইডি লিঙ্ক দেন 
apne google dekhen old version ache,আপনে গুগল দেখেন ওল্ড ভার্সন আছে 
Apne tahole ki vai???,আপনে  তাহলে কি ভাই??? 
Apne try korcen to vai?,আপনে ট্রাই করছেন তো ভাই?
Apne use koren?,আপনে  ইউজ করেন?
tar drive link den ,তার ড্রাইভ লিংক দেন
Apner boyosh koto ??,আপনের বয়স কতো ??
Apner facebook link dan,আপনের ফেইসবুক লিংক দান
Apner Facebook link den,আপনের ফেইসবুক লিংক দেন
"Apner facebook link din,,,,","আপনের ফেইসবুক লিংক দিন,,,,"
apner facebook  link den ,আপনের ফেইসবুক লিংক দেন
apner info chori korbe,আপনের ইনফো চোরি করবে
Apner kotha thik access thake,আপনের কথা ঠিক এক্সেস থাকে
Apner koto dent hoise account a,আপনের কতো ডেন্ট হইছে অ্যাকাউন্ট এ
Apner phn er launcher ki jante pari???..,আপনের ফন এর লঞ্চার কি জানতে পারি???..
Apner ping  Tao ase,আপনের পিং টাও আছে 
Apner post e ache dekhun,আপনের পোস্ট এ আছে দেখুন 
Apner profile a dekhlam likha,আপনের প্রোফাইল এ দেখলাম লিখা 
apner theme gula ki ase???…,আপনের থিম গুলা কি আছে???...
apni ager speed pacchen karon holo…apni proxy change korar por browser restart diyechen ki?,আপনি আগের স্পিড পাচ্ছেন কারণ হলো…আপনি প্রক্সি চেঞ্জ করার পর ব্রাউসার রিস্টার্ট দিয়েছেন কি?
apni amake facebook e inbox koran,আপনি আমাকে ফেইসবুক এ ইনবক্স করান 
apni amar kotha bujhen nai,আপনি আমার কথা বুঝেন নাই 
Apni amar post ignore korben,আপনি আমার পোস্ট ইগনোর করবেন 
Apni apnar speed check kore dekhen.,আপনি আপনার স্পীড চেক করে দেখেন।
apni apps made korlen,আপনি অ্যাপস মেড করলেন 
apni bujhte paren ni ki niye post korche ,আপনি বুঝতে পারেন নি কি নিয়ে পোস্ট করছে 
Apni caile thik korai nite paren,আপনি চাইলে ঠিক করাই নিতে পারেন 
apni cayla ata neya aro post korta pare,আপনি চাইলে এটা নেয়া আরো পোস্ট করতা পারে
Apni vpn use kore download kore din,আপনি  ভিপিন ইউজ করে ডাউনলোড করে  দিন
apni je russian vertual card er post disen,আপনি যে রাশিয়ান ভার্চুয়াল কার্ড এর পোস্ট দিছেন 
Apni janleu shobai janena,আপনি জানলেউ সবাই জানেনা 
Apni je premium vidmate upload disen ,আপনি যে প্রিমিয়াম  ভিডমেট আপলোড দিছেন
apni je spam kortechen subscriber howar iccha ache na ki,আপনি যে স্প্যাম্প করতেছেন সাবস্ক্রাইবার হওয়ার ইচ্ছা আছে না কি 
Apni jeta disen oita use krsi problem hoy ,আপনি যেটা দিছেন ঐটা ইউজ করছি প্রব্লেম হয় 
janen ,জানেন 
apni jodi 24 ghonta connect rakhen tahole jante parbe,আপনি যদি ২৪ ঘন্টা কানেক্ট রাখেন তাহলে জানতে পারবে
Apni jodi atoi paren tahle post korten,আপনি যদি এতই পারেন তাহলে পোস্ট করতেন
Shamneo kore jabo .,সামনেও করে যাবো ।
apni keno bank account details diben,আপনি কেনো ব্যাংক একাউন্ট ডিটেইলস দিবেন
apni ki  sakib ?,আপনি কি সাকিব ?
Apni ki akta banie dite parben account?,আপনি কি একটা বানিয়ে দিতে পারবেন একাউন্ট?
Apni ki ai apps somporke ajkei janlen,আপনি কি এই অ্যাপস সম্পর্কে আজকেই জানলেন
Apni ki eta use korcen,আপনি কি এটা ইউজ করছেন
Rocovary mode a password,রোকোভারি মোড এ পাসওয়ার্ড
Apni ki koiekti valo badminton suggest korte paren? ,আপনি কি কয়েকটি ভালো ব্যাডমিন্টন সাজেস্ট করতে পারেন?
apni ki kono din vpn korechelan ?,আপনি কি কোনো দিন ভিপিএন করেছিলান ?
Apni ki mobile users?,আপনি কি মোবাইল ইউজারস?
ekhon apnar data  kew share korbe,এখন আপনার ডাটা কেউ শেয়ার করবে 
Apni ki sotti bolchen ,আপনি কি সত্যি বলছেন 
refer hack korle refer add hobe?,রেফার হ্যাক করলে রেফার অ্যাড হবে?
Apni Ki Trickbd App Use Koren,আপনি কি ট্রিকবিডি অ্যাপ ইউজ করেন
apni ki turbo vpn ti download korte parchen na?,আপনি কি টার্বো ভিপিএন টি ডাউনলোড করতে পারছেন না?
Apni kichu post koren,আপনি কিছু পোস্ট করেন 
apni kichui janen na,আপনি কিছুই জানেন না 
apni kivabe koren?,আপনি কীভাবে করেন?
Apni koi theke ascen?,আপনি কই থেকে আসছেন?
Apni kon phone use koren,আপনি কোন ফোন ইউজ করেন 
Apni koto wifi use koren??,আপনি কত  ওয়াইফাই ইউজ করেন??
apni koto tuku janen ami jani na,আপনি কত টুকু জানেন আমি জানি না
apni kivabe koren?,আপনি কীভাবে করেন?
Konta theke paid version? ,কোনটা থেকে পেইড ভার্সন?
Konta theke download korbo?,কোনটা থেকে ডাউনলোড করবো?
link probkem howar karone onekei bolche ,লিংক প্রবলেম হওয়ার কারণে অনেকেই বলছে
Apni net theke screenshot niye dite parten mobile er,আপনি নেট থেকে স্ক্রিনশট নিয়ে দিতে পারতেন মোবাইল এর
apni old version use korte paren ,আপনি ওল্ড ভার্সন ইউজ করতে পারতেন 
Apni post a record set kore den ,আপনি পোস্ট এ রেকর্ড সেট করে দেন 
apni post dishen valo ,আপনি পোস্ট দিশেন ভালো 
apni post korsan,আপনি পোস্ট করসান
Apni rat 12 tar por khelben,আপনি রাট ১২ টার পর খেলবেন 
Apni record kore sunun,আপনি রেকর্ড করে শুনুন
Apni Short Link Disen Keno,আপনি শর্ট লিঙ্ক দিছেন কেন 
Apni stock rom Download diya,আপনি স্টক রম ডাউনলোড দিয়া 
PUBG support kori na,পাবজি  সাপোর্ট করি না
apni toh link share korar jonne post korcen dhanda,আপনি তোহ লিংক শেয়ার করার জন্যে পোস্ট করচেন ধান্দা
Apni trickbd te author!,আপনি ট্রিকবিডি তে অথর!
apni try kora daksan,আপনি ট্রাই করে দাকসান 
apps ta to risky,অ্যাপসটা টা তো রিস্কি
Apps te Refresh Koren,অ্যাপস টে রিফ্রেশ করেন 
apps ti cholbe?,আপস টি চলবে? 
Apps ti run korte ki net on kore rakhte hobe?,অ্যাপস টি রান করতে কি নেট অন করে রাখতে হবে?
Ar akta kotha,আর একটা কথা
ar amar phoner sathe apnar content copy korar ki somporko?,আর আমার ফোনের সাথে আপনার কনটেন্ট কপি করার কি সম্পর্ক?
ar ami apnake boli nai trickbd te notun se karone hoito comment korte abong check korteo janen na,আর আমি আপনাকে বলি নাই ট্রিকবিডি তে নতুন সে কারণে হইতো কমেন্ট করতে এবং চেক করতেও জানেন না 
Ar Ami post korte Mana kori nai…,আর আমি পোস্ট করতে মানা করি নাই…
Ar apnar sathe jugajug korbe keno apni jogajug kore bole din,আর আপনার সাথে যুগাযুগ করবে কেন আপনি যোগাযুগ করে বলে দিন 
ar apnar video koi … link edit koren,আর আপনার ভিডিও কই … লিংক এডিট করেন  
Ar Ata Apps Review catagoryr Post na ata Java Mobile catagoryr post…,আর এটা অ্যাপস রিভিউ ক্যাটাগরির পোস্ট না এটা জাভা মোবাইল ক্যাটাগরির পোস্ট 
Ar cheye golperjhuri onek valo,এর চেয়ে গল্পেরঝুরি অনেক ভালো 
"Ar dada, app size only 792 kb hbe…","আর দাদা, অ্যাপ সাইজ অনলি ৭৯২কব হবে..."
ar eta onek ager post,আর এটা  অনেক আগের পোস্ট 
amar akta author id ache.,আমার একটা অথর আইডি আছে।
ar java game valo lage na,আর জাভা গেম ভালো লাগে না
Ar kemon Download link dibo ,আর কেমন ডাউনলোড লিংক দিবো
ar ki ki broser ase ?,আর কি কি ব্রাওজার আছে ? 
Ar koto bar bolbo,আর কতো বার বলব 
ar koto bolbo,আর কতো  বলব 
ar koto vai?,আর কতো ভাই ? 
already post kora hoyeche link:,অলরেডি পোস্ট করা হয়েছে লিংক:
Ar post er vitore je collected lekha ase ?? ,পোস্ট এর ভিতরে যে কালেক্টেড লিখা আছে ??
restore kora onek better,রিস্টোর করা অনেক বেটার
ami apps banaite pare onik banaice,আমি অ্যাপস বানাইতে পারে অনিক বানাইসি 
Ar akta kotha,আর একটা কথা
asa kori valo post korben ,আশা করি ভালো পোস্ট করবেন
Are bhaiya Apni o try koren je follower aseche ki na ,আরে ভাইয়া আপনি ও ট্রাই করেন যে ফলোয়ার এসেছে কি না 
ekhnkar juge phn review sobai youtube e dekhe.,এখনকার যুগে ফন রিভিউ সবাই ইউটিউব এ দেখে।
eta phn review er jayga na,এটা ফন রিভিউ এর জায়গা না
Are mia ami apnare prosno korsi,আরে মিয়া আমি আপনারে প্রশ্ন করছি 
Are mia try na koira comment koren kn??? Ami nije chalai ,আরে মিয়া ট্রাই না কইরা  কমেন্ট করেন কন??? আমি নিজে চালাই
Are miya chokh koi thake oi post holo MX Player Pro er ar eta holo Play Store er.,আরে মিয়া চোখ কই থাকে ওই পোস্ট হলো এমএক্স  প্লেয়ার প্রো এর আর এটা  হলো প্লে স্টোর এর।
are taito cintar bisoy aj kal trickbd to dekhi ,আরে তাইতো চিন্তার বিষয় আজ কাল ট্রিকবিডি তো দেখি 
Are vai je sim hack korben,আরে ভাই যে সিম হ্যাক করবেন 
Are vai re vai ke apni?? ,আরে ভাই রে ভাই কে আপনি?? 
"Are vai, post valo holeo good post, kharap holeo good post. Apni ki ar kono comment janen na…","আরে ভাই, পোস্ট ভালো হলেও গুড পোস্ট, খারাপ হলেও গুড পোস্ট। আপনি কি আর কোনো কমেন্ট জানেন না..."
"are vai, ta bolte cai ni. Onar baki post gula to thik line a ache.but, mobile review gula arektu rich hole valo hoto. Ta bolte cheyechi.","আরে ভাই, তা বলতে চাই নি। ওনার বাকি পোস্ট গুলা তো ঠিক লাইন এ আছে।বাট, মোবাইল রিভিউ গুলা আরেকটু রিচ হলে ভালো হতো। তা বলতে চেয়েছি।"
"Are vai, link fail dekai keno,","আরে ভাই, লিঙ্ক ফেইল দেখায় কেনো, "
are vhai apni je link diyechen sekhane gele dekhai not found,আরে ভাই  আপনি যে লিংক দিয়েছেন সেখানে গেলে দেখাই নট  ফাউন্ড
Are you sure vai?,আর ইও শিয়র ভাই?
Are vai akta o valo na.,আরে ভাই একটা ও ভালো না।
Are first e phone storge default thake,আরে ফার্স্ট এ ফোন স্টোরেজ ডিফল্ট থাকে
are tor brain o protin ase naki,আরে তোর ব্রেইন ও প্রোটিন আছে নাকি
onno keu kivabe use korbe,অন্য কেউ কিভাবে ইউজ করবে
AReh vai apnih etar maneh janen,আরেহ ভাই আপনিহ এটার মানেহ জানেন
Arek site postcopy kora ,আরেক সাইট পোস্টকপি করা
"arektu boro kore dile, valo","আরেকটু বড় করে দিলে, ভালো"
Arki kivabe aita use korte hoi,আরকি কিভাবে এইটা  ইউজ করতে হয় 
aro ekta post korun,আরও একটা পোস্ট করুন 
aro  choto kore likhun ,আরও ছোট করে লিখুন 
Aro kichu zaygay apnar nam lekha ache oigulo remove korbo,আরো কিছু জায়গায় আপনার নাম লেখা আছে ঐগুলো রিমুভ করবো
aro kisu ache segulo add korun,আরো কিছু আছে সেগুলো অ্যাড করুন
Aro valo battery?,আরও ভালো ব্যাটারি?
Aro valo valo post kore wait ,আরো ভালো ভালো পোস্ট করে ওয়েট
accha ,আচ্ছা 
Asa kori comment gula pora uchit chilo,আশা করি কমেন্ট গুলা পড়া উচিত ছিলো
asa kori update clear korben,আশা করি আপডেট ক্লিয়ার করবেন
asbe wait korun,আসবে  ওয়েট করুন 
Ashbe Vai,আসবে ভাই 
theme install kora ase,থিম ইন্সটল করা আছে 
Ase Hoy To.,আছে হয় তো।
Ase hoy na toh ,আছে হয় না তোহ
Ase vai free ase ,আছে ভাই ফ্রি আছে 
apnar fb link den,আপনার এফবি লিঙ্ক দেন 
share koren ,শেয়ার করেন  
kaj korlei disable,কাজ করলেই ডিসএবল
Asob ki post koren ,এসব কি পোস্ট করেন
asob onk agei kra ses.,এসব অনেক আগেই করা শেষ।
number diye sign up na korle tar nam asbe na maybe ,নাম্বার দিয়ে সাইন আপ না করলে তার নাম আসবে না মেইবি
Asole likhte kosto hoy tai post kora hoyna,আসলে লিখতে কষ্ট হয় তাই পোস্ট করা হয়না 
custom rom install dia,কাস্টম রম ইনস্টল দিআ
Accha keno noy?,আচ্ছা কেনো নয়  ? 
Accha vai,আচ্ছা ভাই 
Android Version ke UPGRADE kora jai ? … Jodi jai tahola kevaba ? ..Ektu jodi bolten tahola valo hoto,এন্ড্রোইড ভার্সন কে আপগ্রেড করা যাই ? … যদি যাই তাহলা কীভাবা ? ..একটু যদি বলতেন তাহলা ভালো  হতো
porer post aita nia hobe,পরের পোস্ট এইটা  নিয়া হবে
post er jnno thanks in Advance..,পোস্ট এর জন্য থাঙ্কস ইন এডভান্স..
Assalamualaikum,আসসালামুয়ালাইকুম
assalamualikum vaia . ekta grammarly premium account din ,আসসালামুয়ালিকুম ভাইয়া । একটা গ্রাম্মারলি প্রিমিয়াম একাউন্ট দিন
option nai ,অপশন নাই 
Mixplorer e File manager er moto storage ta default select korar pore exit e jawar somoy root folder ashe ,মিক্সপ্লোরের এ ফাইল ম্যানেজার এর মতো স্টোরেজ টা  ডিফল্ট সিলেক্ট করার পরে এক্সিট এ যাওয়ার সময় রুট ফোল্ডার আসে
phone e kaj hoy na,ফোন ই কাজ হয় না
at least credit to diten amake,এট লিস্ট ক্রেডিট তো দিতেন আমাকে 
15000tk diye aro valo mobile paowa somvob.,১৫০০০টক  দিয়ে আরো ভালো মোবাইল পাওয়া সম্ভব।
ekhane apnar amon comment asa korini,এখানে আপনার এমন কমেন্ট আশা করিনি
disable option dekay,ডিসেবল অপশন দেখায় 
kothakar esob 3rd party app ,কোথাকার এসব ৩র্ড পার্টি অ্যাপ 
A50 jonno cai,এ৫০ জন্য চাই 
a kaisa majak hain? ,এ কাইসা মাজাক হাইন?
Aaj ekta debo…,আজ এটা দিবো ...
aj haha react nei bole ,আজ হাহা রিয়েক্ট নেই বলে 
Aaj ke ki off korse naki????,আজ কে কি অফ করছে নাকি????
ami er Theke aro valo valo offer jani.,আমি এর থেকে আরও ভালো ভালো অফার জানি।
abal kothakar, আবাল কোথাকার 
abal,আবাল
abal Marka post,আবাল মার্কা পোস্ট 
Abal to mia apni.,আবাল তো মিয়া আপনে।
Google search kore dekhen,গুগল সার্চ করে দেখেন
link kaj kore na,লিঙ্ক কাজ করে না 
abar install koren,আবার ইনস্টল করেন
Abar ki File Download korte hobe vai?,আবার কি ফাইল ডাউনলোড করতে হবে ভাই?
Abar Niben onno mail a,আবার নিবেন অন্য মেইল এ
Abar o Aki Post.,আবার ও একই পোস্ট ।
Abar try koren brother,আবার ট্রাই করেন ব্রাদার
apni ki facebook copyright report paren??,আপনি কি ফেসবুক কপিরাইট রিপোর্ট পারেন?? 
akta limite thake…,একটা লিমিট থাকে…
er cheye valo kichu nai,এর চেয়ে  ভালো কিছু নাই 
Abar download kore ante hobe?,আবার ডাউনলোড করে আনতে হবে? 
Naki amni e download chara loading nibe?,নাকি এমনি এ ডাউনলোড ছাড়া লোডিং নিবে?
abubokor vai er tricks ,আবুবকর ভাই এর ট্রিকস
abul er moto kotha bolben na,আবুল এর মতো  কথা বলবেন না
Abul miya dam ullekh kren ni kn ?,আবুল মিয়া দাম উল্লেখ করেন নি কন ? 
abul post …..disabled hoya jay,আবুল পোস্ট …..ডিসেবেলড হয়ে যায় 
AC Market,এসি মার্কেট
Ac market download koren,এসি মার্কেট ডাউনলোড করেন 
ac market er theke valo,এসি মার্কেট এর থেকে ভালো 
number ki fix kore bujhlam na?,নম্বর কি ফিক্স করে বুঝলাম না?
Du diye internal audio record hoi na,দু দিয়ে ইন্টারনাল অডিও রেকর্ড হই না
oi sim a kuno account khula nai,ওই সিম এ কুনো অ্যাকাউন্ট  খুলা নাই
verifications soho app ti ki deoa jabe…,ভেরিফিকেশনস সহ অ্যাপ টি কি দেওয়া যাবে...
ami ki pabo??,আমি কি পাবো??
Acca ,আচ্চা
"acccah, dhonnobad vaiya…","আচ্ছা, ধন্যবাদ ভাইয়া…"
acces off kno.?,অ্যাক্সেস অফ কেন।? 
accessibility service on hoy na,অ্যাক্সেসিবিলিটি সার্ভিস অন হয় না 
Accha din to ,আচ্ছা দিন তো
accha onekei jane na ,আচ্ছা অনেকেই জানে না
accha thik ache,আচ্ছা ঠিক আছে 
thumbnail copy korle ki copyright hobena??,থাম্বনেইল কপি করলে কি কপিরাইট হবেনা??
account e log in korte gele eta lekha astece…,একাউন্ট এ লগ ইন করতে গেলে এটা লেখা আসতেসে...
Account er kono problem hobe??,অ্যাকাউন্ট এর কোনো প্রব্লেম হবে??
bah,বাহ্
bah vai ! khub nam er kaj koresen ! thank you .,বাহ্ ভাই ! খুব নাম এর কাজ করেসেন ! থ্যাংক ইউ ।
Bah!,বাহ্!
Bah…ki post re vai,বাহ্...কি পোস্ট রে ভাই
ami agey bolchi jader thake video layer support kore na tader jonno apni kiser jonno app download korlen apnar to agey thake support korto., আমি আগেই বলেছি যাদের থাকে ভিডিও লেয়ার সাপোর্ট করে না তাদের জন্য আপনি কিসের জন্য অ্যাপ ডাউনলোড করলেন আপনার তো আগেই থাকে সাপোর্ট করতো। 
"Bai apnar phoner wallpaper ta ki dewa jabe,,,?","বাই আপনার ফোনের ওয়ালপেপার টা কি দেয়া যাবে,,,?"
Bai app to inistol hoi na valo akta app den keyboard ar front gula jate stylish,বাই অ্যাপ তো ইনিস্টল হই না ভালো একটা অ্যাপ দেন কীবোর্ড আর ফ্রন্ট গুলা যাতে স্টাইলিশ
bai ata to latest na apnar ta 7.7.2 latest holo ,ভাই এটা তো লেটেস্ট না আপনার টা ৭.৭.২ লেটেস্ট হলো
egula lucky patcher diye unlocked hobe kina??,এগুলা লাকি প্যাচার দিয়ে আনলকড হবে কিনা??
Bai hoi na to,বাই হয় না তো
Add Korbo ,অ্যাড করবো
Bai kinemaster pro,ভাই কাইনমাস্টার প্রো
Bai onek khujeo walton primo s6 er recovery.img file pai ni amake dite parben file ,বাই অনেক খুঁজেও ওয়াল্টন প্রিমো স৬ এর রিকভারি.আইএমজি ফাইল পাই নি আমাকে দিতে পারবেন ফাইল
bai paypal pabo,বাই পেপাল পাবো
Bai root korer somoy ki data connection on rakta hoba….??,ভাই রুট করের সময় কি ডাটা কানেকশন অন রাখতা হবা….??
Bai Sob version e ek problem,ভাই সব ভার্সন এ এক প্রব্লেম
thank you,থ্যাংক ইউ
Uporer Apps Gula Premium Version Den,উপরের অ্যাপস গুলা প্রিমিয়াম ভার্সন দেন
Netflix nia. Airokom ekta kichu ,নেটফ্লিক্স নিয়া। এইরকম একটা কিছু 
Baje,বাজে
bal,বাল
Bal er post id amar 5ta sesh ,বাল এর পোস্ট আইডি আমার ৫টা শেষ
bal desos link tik kor,বাল দিসস লিঙ্ক ঠিক কর 
balance option ,ব্যালান্স অপসন
baler Trick,বালের ট্রিক 
